subscription_id,user_id,plan_name,subscription_start_date,subscription_end_date,is_active,tenure_days,total_revenue,monthly_price,auto_renew,billing_cycle,last_payment_date,country,signup_source,device_type,age,cohort_month
s_000022,u_00022,Pro,2025-11-22,,1,225,154.72,19.99,True,monthly,2026-06-30,FR,mobile,desktop,53,2025-11
s_000023,u_00023,Pro,2025-11-01,2026-05-02,0,182,114.99,19.99,True,monthly,2026-04-29,NL,web,mobile,65,2025-11
s_000024,u_00024,Pro,2024-05-18,,1,778,488.49,19.99,False,yearly,2026-06-19,ES,mobile,desktop,68,2024-05
s_000025,u_00025,Basic,2025-11-03,,1,244,76.7,9.99,True,monthly,2026-07-03,DE,referral,desktop,43,2025-11
s_000026,u_00026,Pro,2024-10-01,2026-05-05,0,581,351.36,19.99,True,yearly,2026-04-18,FR,web,mobile,39,2024-10
s_000027,u_00027,Pro,2025-05-16,,1,415,261.16,19.99,True,monthly,2026-06-14,UK,mobile,desktop,28,2025-05
s_000028,u_00028,Basic,2026-01-11,2026-04-21,0,100,30.1,9.99,True,monthly,2026-04-13,FR,web,desktop,45,2026-01
s_000029,u_00029,Pro,2025-04-16,,1,445,302.61,19.99,False,monthly,2026-07-04,FR,referral,desktop,65,2025-04
s_000030,u_00030,Basic,2026-01-24,,1,162,50.93,9.99,False,yearly,2026-06-26,IT,web,desktop,43,2026-01
s_000031,u_00031,Basic,2025-04-03,,1,458,153.39,9.99,True,monthly,2026-06-12,DE,mobile,desktop,36,2025-04
s_000032,u_00032,Basic,2025-01-29,,1,522,170.93,9.99,True,monthly,2026-06-29,NL,mobile,mobile,23,2025-01
s_000033,u_00033,Basic,2025-02-21,,1,499,170.77,9.99,True,monthly,2026-06-30,FR,web,mobile,38,2025-02
s_000034,u_00034,Basic,2025-09-10,,1,298,103.95,9.99,False,monthly,2026-06-27,UK,mobile,mobile,30,2025-09
s_000035,u_00035,Basic,2024-07-27,,1,708,225.49,9.99,True,monthly,2026-06-14,UK,mobile,tablet,68,2024-07
s_000036,u_00036,Basic,2024-12-22,,1,560,170.61,9.99,False,monthly,2026-06-23,FR,mobile,desktop,45,2024-12
s_000037,u_00037,Premium,2025-09-21,,1,287,388.68,39.99,True,monthly,2026-06-21,FR,mobile,desktop,25,2025-09
s_000038,u_00038,Basic,2025-04-25,,1,436,131.43,9.99,True,yearly,2026-06-17,UK,partner,mobile,21,2025-04
s_000039,u_00039,Basic,2026-01-16,,1,170,53.15,9.99,True,monthly,2026-06-19,FR,web,desktop,62,2026-01
s_000040,u_00040,Basic,2024-03-31,,1,826,250.05,9.99,True,yearly,2026-06-22,IT,web,mobile,66,2024-03
s_000041,u_00041,Premium,2024-08-18,,1,686,947.57,39.99,False,monthly,2026-06-22,UK,web,mobile,57,2024-08
s_000042,u_00042,Pro,2025-08-20,2026-05-19,0,272,163.26,19.99,True,monthly,2026-05-15,ES,mobile,desktop,24,2025-08
s_000043,u_00043,Premium,2024-10-20,,1,623,810.09,39.99,True,monthly,2026-06-26,IT,web,desktop,23,2024-10
s_000044,u_00044,Basic,2024-10-22,2026-06-17,0,603,193.49,9.99,True,yearly,2026-06-17,FR,web,desktop,28,2024-10
s_000045,u_00045,Basic,2024-11-30,,1,582,193.73,9.99,True,monthly,2026-06-16,ES,web,desktop,57,2024-11
s_000046,u_00046,Pro,2025-12-08,,1,209,132.02,19.99,True,monthly,2026-06-22,DE,referral,desktop,57,2025-12
s_000047,u_00047,Basic,2024-05-02,,1,794,272.96,9.99,True,monthly,2026-06-28,UK,web,desktop,61,2024-05
s_000048,u_00048,Pro,2024-03-08,,1,849,572.13,19.99,True,monthly,2026-07-04,FR,mobile,mobile,23,2024-03
s_000049,u_00049,Premium,2024-02-20,2026-06-09,0,840,1080.36,39.99,True,monthly,2026-06-09,IT,web,mobile,25,2024-02
s_000050,u_00050,Basic,2024-02-18,,1,868,275.98,9.99,False,monthly,2026-06-23,FR,partner,mobile,64,2024-02
s_000051,u_00051,Premium,2024-03-17,,1,840,1146.15,39.99,True,yearly,2026-07-02,FR,web,desktop,66,2024-03
s_000052,u_00052,Pro,2024-08-18,,1,686,463.98,19.99,False,monthly,2026-06-14,FR,web,desktop,55,2024-08
s_000053,u_00053,Basic,2026-01-04,,1,182,58.49,9.99,False,monthly,2026-07-02,DE,referral,desktop,23,2026-01
s_000054,u_00054,Basic,2025-03-31,,1,461,146.34,9.99,True,monthly,2026-06-16,IT,referral,desktop,21,2025-03
s_000055,u_00055,Basic,2025-09-29,,1,279,84.46,9.99,True,yearly,2026-06-22,IT,web,tablet,20,2025-09
s_000056,u_00056,Pro,2025-10-25,,1,253,154.4,19.99,False,yearly,2026-07-05,DE,web,desktop,53,2025-10
s_000057,u_00057,Basic,2024-06-07,,1,758,229.52,9.99,True,monthly,2026-06-18,UK,mobile,desktop,61,2024-06
s_000058,u_00058,Basic,2024-07-07,,1,728,219.37,9.99,True,yearly,2026-06-15,UK,referral,mobile,50,2024-07
s_000059,u_00059,Pro,2025-02-17,2026-04-21,0,428,263.21,19.99,True,monthly,2026-03-28,FR,web,desktop,31,2025-02
s_000060,u_00060,Basic,2024-08-22,,1,682,233.94,9.99,True,yearly,2026-06-17,FR,web,desktop,57,2024-08
s_000061,u_00061,Basic,2025-12-25,,1,192,65.54,9.99,True,yearly,2026-06-18,IT,mobile,desktop,21,2025-12
s_000062,u_00062,Pro,2025-10-27,,1,251,172.42,19.99,False,monthly,2026-06-28,UK,mobile,mobile,61,2025-10
s_000063,u_00063,Basic,2024-05-13,,1,783,259.39,9.99,True,monthly,2026-07-04,UK,mobile,mobile,64,2024-05
s_000064,u_00064,Basic,2025-04-15,2026-05-10,0,390,129.04,9.99,False,monthly,2026-04-20,DE,mobile,desktop,55,2025-04
s_000065,u_00065,Basic,2025-02-02,,1,518,158.76,9.99,True,monthly,2026-06-22,IT,web,mobile,63,2025-02
s_000066,u_00066,Basic,2025-04-08,,1,453,151.91,9.99,True,monthly,2026-06-20,UK,referral,mobile,48,2025-04
s_000067,u_00067,Basic,2025-10-31,,1,247,77.79,9.99,True,monthly,2026-06-17,UK,referral,mobile,42,2025-10
s_000068,u_00068,Pro,2024-06-09,,1,756,493.26,19.99,True,monthly,2026-06-28,FR,mobile,desktop,34,2024-06
s_000069,u_00069,Premium,2024-08-15,,1,689,959.51,39.99,True,yearly,2026-07-06,FR,web,desktop,65,2024-08
s_000070,u_00070,Basic,2024-10-10,,1,633,217.58,9.99,True,monthly,2026-06-14,UK,web,mobile,54,2024-10
s_000071,u_00071,Premium,2025-06-25,,1,375,468.62,39.99,True,monthly,2026-06-21,FR,mobile,desktop,27,2025-06
s_000072,u_00072,Pro,2024-11-06,,1,606,408.71,19.99,True,monthly,2026-06-22,UK,web,mobile,67,2024-11
s_000073,u_00073,Pro,2024-03-07,2026-05-23,0,807,492.35,19.99,True,monthly,2026-05-02,ES,partner,mobile,21,2024-03
s_000074,u_00074,Pro,2024-10-31,,1,612,369.25,19.99,True,monthly,2026-06-17,FR,web,desktop,48,2024-10
s_000075,u_00075,Pro,2025-03-10,,1,482,291.02,19.99,True,monthly,2026-06-20,FR,mobile,mobile,27,2025-03
s_000076,u_00076,Pro,2025-09-02,,1,306,189.33,19.99,True,monthly,2026-06-17,FR,referral,tablet,52,2025-09
s_000077,u_00077,Basic,2025-02-23,,1,497,166.54,9.99,True,monthly,2026-06-29,FR,web,mobile,39,2025-02
s_000078,u_00078,Basic,2025-06-22,2026-06-05,0,348,110.61,9.99,True,monthly,2026-05-12,IT,web,desktop,40,2025-06
s_000079,u_00079,Basic,2024-12-13,,1,569,171.28,9.99,True,monthly,2026-07-01,UK,mobile,mobile,52,2024-12
s_000080,u_00080,Basic,2025-12-29,2026-05-23,0,145,50.61,9.99,True,monthly,2026-05-06,DE,mobile,desktop,57,2025-12
s_000081,u_00081,Pro,2025-11-09,,1,238,156.07,19.99,True,monthly,2026-06-24,IT,web,mobile,37,2025-11
s_000082,u_00082,Basic,2024-07-21,,1,714,228.35,9.99,True,monthly,2026-06-12,UK,mobile,mobile,69,2024-07
s_000083,u_00083,Basic,2025-06-19,,1,381,124.39,9.99,True,monthly,2026-06-26,DE,referral,mobile,43,2025-06
s_000084,u_00084,Basic,2025-04-26,,1,435,141.99,9.99,True,monthly,2026-07-01,FR,web,desktop,26,2025-04
s_000085,u_00085,Basic,2025-02-06,,1,514,166.44,9.99,False,monthly,2026-07-03,FR,web,desktop,18,2025-02
s_000086,u_00086,Pro,2025-04-29,,1,432,286.2,19.99,False,yearly,2026-06-15,FR,web,desktop,28,2025-04
s_000087,u_00087,Pro,2024-08-17,,1,687,473.49,19.99,True,monthly,2026-06-19,DE,web,desktop,53,2024-08
s_000088,u_00088,Basic,2025-09-22,,1,286,90.34,9.99,True,monthly,2026-06-22,UK,web,desktop,46,2025-09
s_000089,u_00089,Basic,2024-08-20,,1,684,221.96,9.99,True,monthly,2026-06-26,FR,web,mobile,35,2024-08
s_000090,u_00090,Basic,2025-10-28,2026-05-08,0,192,57.58,9.99,False,monthly,2026-04-15,UK,mobile,desktop,43,2025-10
s_000091,u_00091,Basic,2025-06-16,,1,384,131.92,9.99,True,monthly,2026-06-19,FR,web,mobile,61,2025-06
s_000092,u_00092,Pro,2024-12-20,,1,562,354.84,19.99,True,monthly,2026-06-12,IT,partner,mobile,47,2024-12
s_000093,u_00093,Pro,2024-05-09,,1,787,493.93,19.99,True,yearly,2026-06-16,UK,web,desktop,21,2024-05
s_000094,u_00094,Basic,2025-10-18,2026-06-10,0,235,82.14,9.99,True,monthly,2026-05-28,UK,web,mobile,20,2025-10
s_000095,u_00095,Basic,2024-12-20,,1,562,185.17,9.99,True,monthly,2026-06-30,FR,mobile,mobile,43,2024-12
s_000096,u_00096,Premium,2026-02-22,,1,133,164.06,39.99,True,monthly,2026-06-20,IT,referral,desktop,39,2026-02
s_000097,u_00097,Pro,2026-02-19,,1,136,85.79,19.99,True,monthly,2026-06-19,UK,web,desktop,62,2026-02
s_000098,u_00098,Basic,2024-08-05,,1,699,222.14,9.99,True,monthly,2026-06-23,FR,web,mobile,48,2024-08
s_000099,u_00099,Basic,2024-09-05,,1,668,233.45,9.99,False,monthly,2026-07-06,FR,web,tablet,57,2024-09
s_000100,u_00100,Basic,2025-06-14,,1,386,124.31,9.99,False,yearly,2026-06-12,NL,web,mobile,48,2025-06
s_000101,u_00101,Premium,2024-11-26,,1,586,731.23,39.99,True,monthly,2026-06-16,ES,web,mobile,35,2024-11
s_000102,u_00102,Basic,2025-06-09,,1,391,128.64,9.99,True,monthly,2026-06-28,IT,web,tablet,52,2025-06
s_000103,u_00103,Basic,2025-09-14,,1,294,94.38,9.99,True,monthly,2026-06-24,FR,web,desktop,50,2025-09
s_000104,u_00104,Premium,2025-04-27,,1,434,526.65,39.99,False,monthly,2026-07-03,NL,web,mobile,55,2025-04
s_000105,u_00105,Pro,2025-08-12,,1,327,224.93,19.99,False,yearly,2026-06-13,DE,partner,desktop,27,2025-08
s_000106,u_00106,Basic,2024-07-04,2026-04-22,0,657,197.42,9.99,True,monthly,2026-04-13,IT,mobile,tablet,51,2024-07
s_000107,u_00107,Basic,2025-05-24,2026-05-10,0,351,120.95,9.99,False,monthly,2026-05-04,UK,web,desktop,32,2025-05
s_000108,u_00108,Basic,2025-08-06,,1,333,113.31,9.99,True,monthly,2026-06-21,FR,web,desktop,59,2025-08
s_000109,u_00109,Pro,2025-01-31,,1,520,316.39,19.99,True,yearly,2026-06-12,FR,web,mobile,59,2025-01
s_000110,u_00110,Basic,2024-08-03,2026-06-17,0,683,229.38,9.99,True,monthly,2026-06-04,ES,web,desktop,50,2024-08
s_000111,u_00111,Premium,2025-09-13,,1,295,400.74,39.99,True,monthly,2026-07-03,UK,mobile,mobile,67,2025-09
s_000112,u_00112,Premium,2024-03-21,,1,836,1104.95,39.99,True,yearly,2026-06-15,FR,referral,desktop,45,2024-03
s_000113,u_00113,Basic,2025-04-11,,1,450,148.18,9.99,True,monthly,2026-06-30,FR,referral,tablet,19,2025-04
s_000114,u_00114,Pro,2024-10-27,,1,616,373.08,19.99,False,monthly,2026-06-14,UK,partner,mobile,49,2024-10
s_000115,u_00115,Basic,2024-03-03,,1,854,258.78,9.99,True,monthly,2026-06-27,FR,partner,desktop,58,2024-03
s_000116,u_00116,Basic,2025-04-23,2026-05-18,0,390,131.05,9.99,False,monthly,2026-05-08,ES,partner,mobile,23,2025-04
s_000117,u_00117,Pro,2025-11-02,,1,245,150.12,19.99,False,monthly,2026-06-25,DE,web,desktop,23,2025-11
s_000118,u_00118,Basic,2024-08-20,,1,684,213.57,9.99,True,yearly,2026-07-02,IT,web,mobile,32,2024-08
s_000119,u_00119,Basic,2026-01-20,,1,166,54.21,9.99,False,monthly,2026-06-23,UK,web,mobile,61,2026-01
s_000120,u_00120,Basic,2025-04-02,,1,459,141.63,9.99,True,monthly,2026-06-26,IT,mobile,mobile,45,2025-04
s_000121,u_00121,Basic,2024-02-08,,1,878,298.12,9.99,True,yearly,2026-06-15,UK,web,desktop,68,2024-02
s_000122,u_00122,Basic,2025-05-26,,1,405,138.05,9.99,True,monthly,2026-06-25,IT,referral,desktop,63,2025-05
s_000123,u_00123,Pro,2024-10-13,,1,630,431.52,19.99,True,yearly,2026-06-12,FR,mobile,mobile,46,2024-10
s_000124,u_00124,Pro,2025-02-24,,1,496,300.51,19.99,False,monthly,2026-06-29,UK,mobile,mobile,53,2025-02
s_000125,u_00125,Pro,2025-10-21,,1,257,165.76,19.99,True,yearly,2026-06-28,FR,web,desktop,35,2025-10
s_000126,u_00126,Pro,2025-08-04,,1,335,229.94,19.99,True,monthly,2026-07-06,UK,web,desktop,22,2025-08
s_000127,u_00127,Basic,2025-02-24,,1,496,157.97,9.99,True,monthly,2026-06-18,FR,web,desktop,38,2025-02
s_000128,u_00128,Pro,2026-01-20,,1,166,111.76,19.99,True,monthly,2026-07-05,FR,referral,mobile,48,2026-01
s_000129,u_00129,Basic,2025-05-19,,1,412,135.93,9.99,False,monthly,2026-06-29,FR,mobile,desktop,27,2025-05
s_000130,u_00130,Basic,2025-05-19,,1,412,130.94,9.99,True,yearly,2026-06-14,UK,mobile,desktop,29,2025-05
s_000131,u_00131,Premium,2024-06-16,,1,749,941.23,39.99,False,monthly,2026-06-21,FR,web,tablet,18,2024-06
s_000132,u_00132,Basic,2026-01-16,,1,170,56.82,9.99,True,monthly,2026-06-23,NL,web,desktop,56,2026-01
s_000133,u_00133,Basic,2024-06-06,,1,759,232.84,9.99,False,monthly,2026-06-16,UK,web,mobile,64,2024-06
s_000134,u_00134,Basic,2025-05-21,,1,410,140.83,9.99,True,monthly,2026-06-17,FR,mobile,desktop,61,2025-05
s_000135,u_00135,Basic,2024-11-13,,1,599,197.1,9.99,True,monthly,2026-06-14,UK,mobile,mobile,37,2024-11
s_000136,u_00136,Basic,2025-01-24,,1,527,161.18,9.99,True,monthly,2026-06-20,FR,web,mobile,48,2025-01
s_000137,u_00137,Basic,2025-08-15,,1,324,108.82,9.99,True,monthly,2026-06-25,NL,partner,mobile,67,2025-08
s_000138,u_00138,Premium,2024-03-27,,1,830,1068.58,39.99,False,yearly,2026-07-03,UK,web,desktop,48,2024-03
s_000139,u_00139,Basic,2025-10-18,,1,260,80.88,9.99,True,monthly,2026-06-27,DE,referral,desktop,33,2025-10
s_000140,u_00140,Basic,2025-12-16,,1,201,70.24,9.99,True,monthly,2026-06-19,FR,web,mobile,35,2025-12
s_000141,u_00141,Basic,2024-08-20,2026-04-24,0,612,205.42,9.99,False,monthly,2026-04-08,UK,web,desktop,55,2024-08
s_000142,u_00142,Pro,2024-12-08,2026-04-14,0,492,324.21,19.99,True,monthly,2026-04-13,UK,referral,desktop,41,2024-12
s_000143,u_00143,Basic,2024-04-27,,1,799,273.68,9.99,True,monthly,2026-06-27,NL,web,desktop,61,2024-04
s_000144,u_00144,Basic,2025-04-05,,1,456,149.38,9.99,False,monthly,2026-07-01,UK,web,tablet,62,2025-04
s_000145,u_00145,Basic,2025-12-10,,1,207,66.92,9.99,True,monthly,2026-06-15,UK,web,mobile,19,2025-12
s_000146,u_00146,Pro,2025-11-25,,1,222,137.96,19.99,False,monthly,2026-06-27,FR,web,mobile,55,2025-11
s_000147,u_00147,Pro,2025-04-29,,1,432,266.31,19.99,True,monthly,2026-06-26,FR,mobile,mobile,37,2025-04
s_000148,u_00148,Pro,2025-09-24,,1,284,183.22,19.99,False,monthly,2026-06-26,UK,referral,desktop,45,2025-09
s_000149,u_00149,Pro,2024-04-07,,1,819,529.13,19.99,True,monthly,2026-06-29,UK,referral,desktop,31,2024-04
s_000150,u_00150,Basic,2026-01-19,,1,167,56.5,9.99,True,monthly,2026-06-14,FR,web,desktop,37,2026-01
s_000151,u_00151,Basic,2024-05-04,,1,792,255.17,9.99,True,monthly,2026-06-18,ES,web,mobile,35,2024-05
s_000152,u_00152,Basic,2025-10-21,,1,257,84.97,9.99,False,monthly,2026-07-03,ES,web,desktop,20,2025-10
s_000153,u_00153,Basic,2026-01-18,,1,168,57.68,9.99,True,monthly,2026-07-01,FR,web,mobile,58,2026-01
s_000154,u_00154,Basic,2025-08-31,,1,308,107.94,9.99,False,monthly,2026-07-04,UK,web,mobile,25,2025-08
s_000155,u_00155,Basic,2025-12-26,,1,191,60.64,9.99,True,monthly,2026-06-30,FR,partner,desktop,37,2025-12
s_000156,u_00156,Basic,2025-05-28,,1,403,139.28,9.99,True,monthly,2026-06-20,IT,referral,mobile,28,2025-05
s_000157,u_00157,Pro,2025-07-31,2026-06-25,0,329,223.81,19.99,False,yearly,2026-06-13,FR,mobile,desktop,26,2025-07
s_000158,u_00158,Basic,2025-02-11,,1,509,154.58,9.99,True,monthly,2026-07-04,IT,web,tablet,37,2025-02
s_000159,u_00159,Pro,2025-02-12,,1,508,322.25,19.99,True,monthly,2026-07-05,DE,web,mobile,65,2025-02
s_000160,u_00160,Pro,2025-11-24,,1,223,139.24,19.99,False,monthly,2026-06-26,DE,web,mobile,67,2025-11
s_000161,u_00161,Basic,2025-12-28,,1,189,63.25,9.99,True,monthly,2026-06-30,FR,web,desktop,37,2025-12
s_000162,u_00162,Basic,2025-12-09,,1,208,68.43,9.99,True,monthly,2026-06-22,NL,web,desktop,44,2025-12
s_000163,u_00163,Pro,2025-11-04,,1,243,158.4,19.99,True,yearly,2026-07-04,FR,web,desktop,69,2025-11
s_000164,u_00164,Pro,2026-02-10,,1,145,98.7,19.99,True,monthly,2026-07-01,FR,web,desktop,30,2026-02
s_000165,u_00165,Basic,2025-08-11,2026-05-22,0,284,89.84,9.99,True,monthly,2026-05-15,UK,partner,desktop,67,2025-08
s_000166,u_00166,Basic,2025-01-19,,1,532,169.93,9.99,True,monthly,2026-06-27,UK,web,desktop,23,2025-01
s_000167,u_00167,Pro,2025-08-17,,1,322,221.65,19.99,True,monthly,2026-07-01,ES,partner,tablet,29,2025-08
s_000168,u_00168,Pro,2025-07-20,,1,350,244.6,19.99,True,monthly,2026-07-05,DE,web,desktop,35,2025-07
s_000169,u_00169,Basic,2025-04-02,,1,459,155.7,9.99,True,monthly,2026-06-28,FR,mobile,desktop,19,2025-04
s_000170,u_00170,Basic,2025-01-19,,1,532,165.52,9.99,True,monthly,2026-06-28,NL,web,mobile,60,2025-01
s_000171,u_00171,Premium,2025-07-15,,1,355,435.11,39.99,True,yearly,2026-06-14,FR,web,mobile,62,2025-07
s_000172,u_00172,Basic,2025-10-14,,1,264,82.19,9.99,True,monthly,2026-06-14,UK,web,mobile,37,2025-10
s_000173,u_00173,Premium,2025-05-21,,1,410,527.82,39.99,True,yearly,2026-06-26,FR,web,mobile,61,2025-05
s_000174,u_00174,Basic,2025-11-15,2026-04-27,0,163,50.78,9.99,False,monthly,2026-04-17,NL,referral,mobile,58,2025-11
s_000175,u_00175,Basic,2025-03-08,,1,484,167.18,9.99,True,monthly,2026-06-21,FR,web,mobile,59,2025-03
s_000176,u_00176,Basic,2024-03-20,,1,837,279.22,9.99,True,monthly,2026-06-27,FR,mobile,desktop,59,2024-03
s_000177,u_00177,Basic,2025-05-20,,1,411,132.05,9.99,True,monthly,2026-06-18,UK,web,mobile,47,2025-05
s_000178,u_00178,Premium,2026-01-15,,1,171,215.77,39.99,True,yearly,2026-06-12,NL,web,desktop,23,2026-01
s_000179,u_00179,Basic,2024-09-15,,1,658,210.03,9.99,False,monthly,2026-06-26,ES,web,desktop,66,2024-09
s_000180,u_00180,Premium,2025-12-28,,1,189,246.03,39.99,False,yearly,2026-07-04,DE,web,desktop,49,2025-12
s_000181,u_00181,Basic,2025-11-13,,1,234,78.81,9.99,False,monthly,2026-07-03,ES,partner,desktop,64,2025-11
s_000182,u_00182,Premium,2025-12-28,,1,189,231.34,39.99,True,monthly,2026-06-15,ES,referral,mobile,67,2025-12
s_000183,u_00183,Premium,2024-05-05,,1,791,1084.58,39.99,True,monthly,2026-06-26,UK,mobile,desktop,27,2024-05
s_000184,u_00184,Pro,2024-02-20,,1,866,530.99,19.99,True,monthly,2026-06-28,FR,web,desktop,38,2024-02
s_000185,u_00185,Basic,2025-01-12,,1,539,168.92,9.99,True,yearly,2026-06-21,DE,web,desktop,28,2025-01
s_000186,u_00186,Pro,2024-11-24,,1,588,411.72,19.99,True,yearly,2026-06-13,IT,referral,mobile,20,2024-11
s_000187,u_00187,Basic,2024-11-07,,1,605,187.38,9.99,True,monthly,2026-06-26,UK,web,desktop,68,2024-11
s_000188,u_00188,Premium,2024-12-15,,1,567,692.92,39.99,True,monthly,2026-06-29,FR,web,mobile,66,2024-12
s_000189,u_00189,Basic,2025-01-22,,1,529,175.74,9.99,False,monthly,2026-06-15,DE,web,mobile,66,2025-01
s_000190,u_00190,Basic,2024-01-30,,1,887,283.57,9.99,True,monthly,2026-07-04,FR,mobile,desktop,63,2024-01
s_000191,u_00191,Basic,2024-09-07,,1,666,202.96,9.99,True,monthly,2026-06-15,NL,mobile,mobile,51,2024-09
s_000192,u_00192,Pro,2026-01-27,,1,159,96.01,19.99,False,monthly,2026-06-23,FR,mobile,desktop,45,2026-01
s_000193,u_00193,Premium,2025-06-13,,1,387,471.63,39.99,False,monthly,2026-07-06,FR,mobile,desktop,69,2025-06
s_000194,u_00194,Basic,2024-02-23,,1,863,281.5,9.99,True,yearly,2026-07-01,ES,web,mobile,46,2024-02
s_000195,u_00195,Pro,2025-05-29,,1,402,250.98,19.99,True,monthly,2026-06-20,FR,referral,mobile,51,2025-05
s_000196,u_00196,Premium,2025-11-03,,1,244,332.02,39.99,True,monthly,2026-06-18,FR,web,desktop,29,2025-11
s_000197,u_00197,Basic,2024-05-05,,1,791,271.29,9.99,True,monthly,2026-07-02,UK,mobile,mobile,56,2024-05
s_000198,u_00198,Basic,2024-11-27,,1,585,179.86,9.99,True,yearly,2026-06-20,ES,web,desktop,60,2024-11
s_000199,u_00199,Pro,2025-01-23,,1,528,335.06,19.99,True,monthly,2026-06-12,FR,partner,mobile,53,2025-01
s_000200,u_00200,Pro,2025-05-20,,1,411,253.11,19.99,True,monthly,2026-06-19,FR,web,mobile,43,2025-05
s_000201,u_00201,Basic,2026-01-05,,1,181,57.15,9.99,True,monthly,2026-06-19,DE,web,mobile,28,2026-01
s_000202,u_00202,Pro,2025-06-16,,1,384,240.09,19.99,True,yearly,2026-07-02,NL,web,mobile,19,2025-06
s_000203,u_00203,Basic,2025-05-03,2026-05-29,0,391,132.55,9.99,False,monthly,2026-05-12,UK,web,desktop,50,2025-05
s_000204,u_00204,Premium,2024-03-15,,1,842,1069.58,39.99,True,monthly,2026-07-04,FR,web,mobile,53,2024-03
s_000205,u_00205,Premium,2025-08-14,,1,325,423.4,39.99,True,monthly,2026-06-29,FR,mobile,mobile,58,2025-08
s_000206,u_00206,Pro,2025-12-20,,1,197,132.08,19.99,True,monthly,2026-06-14,FR,web,mobile,67,2025-12
s_000207,u_00207,Basic,2025-05-06,,1,425,145.17,9.99,False,monthly,2026-06-12,FR,referral,desktop,43,2025-05
s_000208,u_00208,Basic,2024-02-05,,1,881,277.61,9.99,True,monthly,2026-07-02,IT,web,desktop,61,2024-02
s_000209,u_00209,Basic,2025-03-30,,1,462,143.6,9.99,False,monthly,2026-06-18,FR,mobile,desktop,55,2025-03
s_000210,u_00210,Basic,2025-06-15,,1,385,134.55,9.99,True,monthly,2026-06-24,UK,web,desktop,32,2025-06
s_000211,u_00211,Pro,2024-10-20,2026-05-25,0,582,367.65,19.99,True,monthly,2026-05-13,IT,mobile,desktop,61,2024-10
s_000212,u_00212,Basic,2024-11-17,,1,595,198.6,9.99,True,monthly,2026-06-15,UK,mobile,desktop,20,2024-11
s_000213,u_00213,Basic,2025-08-27,,1,312,104.4,9.99,True,monthly,2026-06-25,FR,web,mobile,49,2025-08
s_000214,u_00214,Basic,2024-02-26,2026-05-25,0,819,266.48,9.99,False,monthly,2026-05-09,DE,partner,desktop,66,2024-02
