user_id,churn_probability,monthly_price,target_for_retention
u_00283,0.0729,19.99,False
u_00726,0.0728,19.99,False
u_00419,0.0712,9.99,False
u_00709,0.0711,9.99,False
u_00079,0.0706,9.99,False
u_00210,0.0704,9.99,False
u_00733,0.0703,9.99,False
u_00306,0.0701,19.99,False
u_00147,0.0692,19.99,False
u_00223,0.0665,19.99,False
u_00619,0.0662,19.99,False
u_00611,0.066,19.99,False
u_00380,0.0651,9.99,False
u_00533,0.0637,19.99,False
u_00695,0.0635,39.99,False
u_00546,0.0616,19.99,False
u_00457,0.0593,9.99,False
u_00128,0.059,19.99,False
u_00750,0.0589,9.99,False
u_00596,0.0588,19.99,False
u_00209,0.0582,9.99,False
u_00111,0.0573,39.99,False
u_00406,0.0555,9.99,False
u_00788,0.0544,9.99,False
u_00447,0.0543,9.99,False
u_00497,0.0536,9.99,False
u_00720,0.0535,9.99,False
u_00490,0.0534,9.99,False
u_00284,0.0523,19.99,False
u_00451,0.0514,9.99,False
u_00755,0.0514,9.99,False
u_00512,0.0505,19.99,False
u_00152,0.0498,9.99,False
u_00383,0.0494,9.99,False
u_00055,0.0481,9.99,False
u_00738,0.0473,19.99,False
u_00332,0.0469,9.99,False
u_00582,0.0467,19.99,False
u_00708,0.0466,39.99,False
u_00018,0.0464,9.99,False
u_00448,0.0452,9.99,False
u_00084,0.0441,9.99,False
u_00713,0.0436,39.99,False
u_00101,0.0434,39.99,False
u_00473,0.0431,9.99,False
u_00724,0.0428,39.99,False
u_00377,0.042,19.99,False
u_00269,0.0419,9.99,False
u_00477,0.0418,9.99,False
u_00085,0.0411,9.99,False
u_00158,0.0411,9.99,False
u_00162,0.038,9.99,False
u_00204,0.0361,39.99,False
u_00381,0.0359,19.99,False
u_00057,0.0358,9.99,False
u_00765,0.0356,9.99,False
u_00666,0.0341,9.99,False
u_00370,0.034,9.99,False
u_00763,0.0338,19.99,False
u_00326,0.0333,9.99,False
u_00507,0.0331,9.99,False
u_00394,0.0309,9.99,False
u_00454,0.0303,9.99,False
u_00113,0.0302,9.99,False
u_00504,0.0299,19.99,False
u_00212,0.0295,9.99,False
u_00359,0.0293,19.99,False
u_00024,0.0271,19.99,False
u_00479,0.0267,9.99,False
u_00154,0.0258,9.99,False
u_00043,0.0256,39.99,False
u_00745,0.0244,9.99,False
u_00121,0.0243,9.99,False
u_00686,0.0242,9.99,False
u_00364,0.024,9.99,False
u_00314,0.0239,39.99,False
u_00288,0.0238,19.99,False
u_00261,0.0237,9.99,False
u_00145,0.0234,9.99,False
u_00081,0.0232,19.99,False
u_00589,0.0231,9.99,False
u_00239,0.023,9.99,False
u_00092,0.0227,19.99,False
u_00091,0.0223,9.99,False
u_00495,0.0222,19.99,False
u_00608,0.022,19.99,False
u_00459,0.0212,39.99,False
u_00780,0.0208,19.99,False
u_00324,0.0208,9.99,False
u_00325,0.0207,9.99,False
u_00522,0.0202,9.99,False
u_00600,0.0202,9.99,False
u_00787,0.0199,9.99,False
u_00722,0.0195,39.99,False
u_00753,0.0194,39.99,False
u_00704,0.0192,9.99,False
u_00412,0.0188,9.99,False
u_00255,0.0185,39.99,False
u_00540,0.0181,9.99,False
u_00400,0.0178,9.99,False
u_00040,0.0176,9.99,False
u_00670,0.0175,9.99,False
u_00003,0.0174,39.99,False
u_00143,0.0172,9.99,False
u_00251,0.0171,19.99,False
u_00019,0.0168,9.99,False
u_00775,0.0167,9.99,False
u_00172,0.0165,9.99,False
u_00238,0.0164,9.99,False
u_00799,0.0164,9.99,False
u_00118,0.0162,9.99,False
u_00714,0.0158,9.99,False
u_00390,0.0157,9.99,False
u_00331,0.0157,9.99,False
u_00242,0.0156,9.99,False
u_00570,0.0155,19.99,False
u_00330,0.0152,9.99,False
u_00274,0.0152,9.99,False
u_00393,0.015,19.99,False
u_00166,0.0148,9.99,False
u_00095,0.0148,9.99,False
u_00338,0.0146,19.99,False
u_00598,0.0146,19.99,False
u_00112,0.0146,39.99,False
u_00735,0.0144,9.99,False
u_00397,0.0143,39.99,False
u_00076,0.0142,19.99,False
u_00710,0.0142,19.99,False
u_00371,0.0136,19.99,False
u_00322,0.0136,39.99,False
u_00334,0.0135,9.99,False
u_00532,0.0135,39.99,False
u_00365,0.0132,39.99,False
u_00175,0.0131,9.99,False
u_00149,0.0129,19.99,False
u_00039,0.0128,9.99,False
u_00551,0.0126,9.99,False
u_00440,0.0121,9.99,False
u_00192,0.0121,19.99,False
u_00069,0.0119,39.99,False
u_00662,0.0118,9.99,False
u_00114,0.0118,19.99,False
u_00089,0.0117,9.99,False
u_00498,0.0116,9.99,False
u_00496,0.0115,9.99,False
u_00413,0.0114,19.99,False
u_00375,0.0112,9.99,False
u_00684,0.0107,9.99,False
u_00441,0.0107,9.99,False
u_00741,0.0105,9.99,False
u_00395,0.0102,9.99,False
u_00208,0.0102,9.99,False
u_00292,0.01,9.99,False
u_00194,0.0096,9.99,False
u_00329,0.0094,19.99,False
u_00470,0.0093,19.99,False
u_00388,0.0093,9.99,False
u_00514,0.0093,19.99,False
u_00517,0.0092,19.99,False
u_00347,0.0091,9.99,False
u_00293,0.0089,39.99,False
u_00586,0.0088,39.99,False
u_00102,0.0087,9.99,False
u_00247,0.0086,19.99,False
u_00651,0.0086,9.99,False
u_00556,0.0086,9.99,False
u_00432,0.0083,39.99,False
u_00103,0.0082,9.99,False
u_00098,0.0082,9.99,False
u_00688,0.0081,19.99,False
u_00742,0.0081,9.99,False
u_00731,0.008,9.99,False
u_00047,0.008,9.99,False
u_00727,0.0079,9.99,False
u_00398,0.0079,39.99,False
u_00184,0.0079,19.99,False
u_00414,0.0079,39.99,False
u_00429,0.0078,19.99,False
u_00452,0.0077,9.99,False
u_00305,0.0076,19.99,False
u_00444,0.0076,9.99,False
u_00062,0.0076,19.99,False
u_00135,0.0073,9.99,False
u_00721,0.0073,9.99,False
u_00712,0.0073,9.99,False
u_00488,0.0072,39.99,False
u_00566,0.0072,19.99,False
u_00115,0.0071,9.99,False
u_00061,0.0067,9.99,False
u_00002,0.0066,39.99,False
u_00133,0.0066,9.99,False
u_00734,0.0066,9.99,False
u_00458,0.0066,9.99,False
u_00601,0.0064,9.99,False
u_00001,0.0064,19.99,False
u_00767,0.0063,9.99,False
u_00287,0.0063,19.99,False
u_00481,0.0063,19.99,False
u_00109,0.0062,19.99,False
u_00740,0.0062,9.99,False
u_00279,0.0061,39.99,False
u_00376,0.0061,9.99,False
u_00645,0.006,39.99,False
u_00588,0.006,9.99,False
u_00486,0.006,9.99,False
u_00564,0.0059,9.99,False
u_00506,0.0058,9.99,False
u_00096,0.0058,39.99,False
u_00196,0.0057,39.99,False
u_00676,0.0057,9.99,False
u_00527,0.0057,39.99,False
u_00502,0.0057,9.99,False
u_00510,0.0056,19.99,False
u_00236,0.0056,19.99,False
u_00343,0.0056,39.99,False
u_00591,0.0055,9.99,False
u_00518,0.0054,19.99,False
u_00659,0.0054,19.99,False
u_00595,0.0053,19.99,False
u_00505,0.0052,9.99,False
u_00715,0.005,9.99,False
u_00531,0.005,39.99,False
u_00797,0.005,9.99,False
u_00182,0.0049,39.99,False
u_00463,0.0049,39.99,False
u_00178,0.0048,39.99,False
u_00685,0.0048,39.99,False
u_00743,0.0046,9.99,False
u_00800,0.0046,9.99,False
u_00186,0.0045,19.99,False
u_00300,0.0045,39.99,False
u_00038,0.0045,9.99,False
u_00562,0.0045,9.99,False
u_00033,0.0044,9.99,False
u_00349,0.0043,9.99,False
u_00403,0.0042,9.99,False
u_00188,0.0042,39.99,False
u_00771,0.0042,39.99,False
u_00549,0.0041,9.99,False
u_00646,0.0041,9.99,False
u_00491,0.0041,9.99,False
u_00673,0.0041,9.99,False
u_00632,0.004,19.99,False
u_00587,0.004,39.99,False
u_00558,0.004,9.99,False
u_00275,0.0039,19.99,False
u_00737,0.0039,9.99,False
u_00618,0.0039,9.99,False
u_00791,0.0039,39.99,False
u_00335,0.0037,19.99,False
u_00475,0.0037,19.99,False
u_00681,0.0037,19.99,False
u_00509,0.0036,9.99,False
u_00176,0.0036,9.99,False
u_00052,0.0036,19.99,False
u_00541,0.0035,9.99,False
u_00548,0.0034,39.99,False
u_00407,0.0033,9.99,False
u_00058,0.0032,9.99,False
u_00513,0.0032,39.99,False
u_00557,0.0031,9.99,False
u_00760,0.0031,9.99,False
u_00520,0.0031,9.99,False
u_00050,0.0031,9.99,False
u_00664,0.003,9.99,False
u_00665,0.0029,39.99,False
u_00503,0.0029,19.99,False
u_00777,0.0029,9.99,False
u_00267,0.0028,19.99,False
u_00778,0.0028,9.99,False
u_00060,0.0028,9.99,False
u_00070,0.0028,9.99,False
u_00229,0.0028,39.99,False
u_00320,0.0027,19.99,False
u_00464,0.0027,19.99,False
u_00358,0.0026,39.99,False
u_00063,0.0026,9.99,False
u_00221,0.0026,39.99,False
u_00126,0.0025,19.99,False
u_00640,0.0025,9.99,False
u_00308,0.0025,19.99,False
u_00181,0.0025,9.99,False
u_00583,0.0025,39.99,False
u_00431,0.0024,9.99,False
u_00466,0.0024,9.99,False
u_00392,0.0024,9.99,False
u_00153,0.0024,9.99,False
u_00378,0.0024,9.99,False
u_00298,0.0024,19.99,False
u_00449,0.0024,9.99,False
u_00678,0.0023,39.99,False
u_00054,0.0023,9.99,False
u_00559,0.0023,39.99,False
u_00599,0.0023,9.99,False
u_00696,0.0023,19.99,False
u_00561,0.0022,39.99,False
u_00421,0.0022,19.99,False
u_00159,0.0022,19.99,False
u_00636,0.0022,9.99,False
u_00372,0.0022,9.99,False
u_00795,0.0022,9.99,False
u_00478,0.0022,19.99,False
u_00568,0.0022,9.99,False
u_00516,0.0021,19.99,False
u_00350,0.0021,39.99,False
u_00302,0.0021,19.99,False
u_00088,0.0021,9.99,False
u_00674,0.002,9.99,False
u_00776,0.002,9.99,False
u_00590,0.002,19.99,False
u_00773,0.002,9.99,False
u_00642,0.002,19.99,False
u_00736,0.002,9.99,False
u_00718,0.002,9.99,False
u_00285,0.002,19.99,False
u_00575,0.0019,19.99,False
u_00086,0.0019,19.99,False
u_00744,0.0018,19.99,False
u_00309,0.0018,19.99,False
u_00649,0.0018,9.99,False
u_00345,0.0018,9.99,False
u_00379,0.0018,19.99,False
u_00573,0.0017,19.99,False
u_00160,0.0017,19.99,False
u_00629,0.0017,39.99,False
u_00571,0.0017,39.99,False
u_00606,0.0017,9.99,False
u_00446,0.0017,19.99,False
u_00015,0.0016,9.99,False
u_00189,0.0016,9.99,False
u_00523,0.0016,39.99,False
u_00077,0.0016,9.99,False
u_00386,0.0016,19.99,False
u_00276,0.0016,9.99,False
u_00569,0.0016,19.99,False
u_00424,0.0016,19.99,False
u_00489,0.0016,19.99,False
u_00638,0.0015,9.99,False
u_00697,0.0015,9.99,False
u_00034,0.0015,9.99,False
u_00027,0.0015,19.99,False
u_00528,0.0015,9.99,False
u_00136,0.0015,9.99,False
u_00185,0.0014,9.99,False
u_00170,0.0014,9.99,False
u_00201,0.0014,9.99,False
u_00130,0.0014,9.99,False
u_00373,0.0014,9.99,False
u_00368,0.0014,9.99,False
u_00259,0.0014,9.99,False
u_00270,0.0014,39.99,False
u_00716,0.0014,9.99,False
u_00711,0.0014,9.99,False
u_00029,0.0013,19.99,False
u_00005,0.0013,39.99,False
u_00317,0.0013,19.99,False
u_00719,0.0013,19.99,False
u_00468,0.0013,9.99,False
u_00774,0.0013,9.99,False
u_00625,0.0012,19.99,False
u_00297,0.0012,19.99,False
u_00237,0.0012,9.99,False
u_00426,0.0012,19.99,False
u_00672,0.0012,9.99,False
u_00671,0.0012,9.99,False
u_00366,0.0012,19.99,False
u_00399,0.0012,39.99,False
u_00215,0.0011,9.99,False
u_00010,0.0011,9.99,False
u_00032,0.0011,9.99,False
u_00220,0.0011,39.99,False
u_00574,0.0011,19.99,False
u_00304,0.0011,19.99,False
u_00661,0.0011,9.99,False
u_00258,0.0011,39.99,False
u_00641,0.0011,19.99,False
u_00634,0.0011,9.99,False
u_00610,0.0011,19.99,False
u_00286,0.0011,19.99,False
u_00065,0.001,9.99,False
u_00100,0.001,9.99,False
u_00108,0.001,9.99,False
u_00199,0.001,19.99,False
u_00637,0.001,19.99,False
u_00387,0.001,9.99,False
u_00202,0.001,19.99,False
u_00511,0.001,39.99,False
u_00231,0.001,19.99,False
u_00460,0.001,9.99,False
u_00580,0.0009,39.99,False
u_00624,0.0009,9.99,False
u_00150,0.0009,9.99,False
u_00480,0.0009,9.99,False
u_00129,0.0009,9.99,False
u_00222,0.0009,9.99,False
u_00097,0.0009,19.99,False
u_00617,0.0009,9.99,False
u_00438,0.0009,9.99,False
u_00337,0.0009,9.99,False
u_00045,0.0009,9.99,False
u_00621,0.0009,19.99,False
u_00011,0.0009,9.99,False
u_00798,0.0009,9.99,False
u_00037,0.0009,39.99,False
u_00567,0.0009,9.99,False
u_00206,0.0009,19.99,False
u_00764,0.0009,9.99,False
u_00785,0.0009,9.99,False
u_00752,0.0009,39.99,False
u_00351,0.0008,39.99,False
u_00779,0.0008,9.99,False
u_00456,0.0008,9.99,False
u_00323,0.0008,9.99,False
u_00415,0.0008,19.99,False
u_00692,0.0008,19.99,False
u_00180,0.0008,39.99,False
u_00134,0.0008,9.99,False
u_00249,0.0008,9.99,False
u_00521,0.0008,19.99,False
u_00652,0.0008,9.99,False
u_00603,0.0008,9.99,False
u_00792,0.0007,9.99,False
u_00245,0.0007,39.99,False
u_00254,0.0007,9.99,False
u_00041,0.0007,39.99,False
u_00657,0.0007,19.99,False
u_00790,0.0007,39.99,False
u_00125,0.0007,19.99,False
u_00124,0.0007,19.99,False
u_00409,0.0007,9.99,False
u_00068,0.0007,19.99,False
u_00301,0.0007,9.99,False
u_00682,0.0007,39.99,False
u_00187,0.0007,9.99,False
u_00232,0.0007,19.99,False
u_00581,0.0007,9.99,False
u_00584,0.0007,9.99,False
u_00191,0.0007,9.99,False
u_00543,0.0007,39.99,False
u_00171,0.0007,39.99,False
u_00607,0.0007,19.99,False
u_00197,0.0007,9.99,False
u_00579,0.0006,19.99,False
u_00119,0.0006,9.99,False
u_00169,0.0006,9.99,False
u_00164,0.0006,19.99,False
u_00173,0.0006,39.99,False
u_00132,0.0006,9.99,False
u_00616,0.0006,9.99,False
u_00151,0.0006,9.99,False
u_00783,0.0006,19.99,False
u_00367,0.0006,39.99,False
u_00264,0.0006,9.99,False
u_00315,0.0006,39.99,False
u_00442,0.0006,9.99,False
u_00167,0.0006,19.99,False
u_00706,0.0006,19.99,False
u_00248,0.0006,19.99,False
u_00538,0.0006,19.99,False
u_00022,0.0005,19.99,False
u_00296,0.0005,19.99,False
u_00013,0.0005,19.99,False
u_00137,0.0005,9.99,False
u_00272,0.0005,9.99,False
u_00455,0.0005,9.99,False
u_00707,0.0005,19.99,False
u_00529,0.0005,19.99,False
u_00687,0.0005,39.99,False
u_00352,0.0005,19.99,False
u_00120,0.0005,9.99,False
u_00030,0.0005,9.99,False
u_00705,0.0005,9.99,False
u_00465,0.0005,9.99,False
u_00312,0.0005,19.99,False
u_00074,0.0005,19.99,False
u_00071,0.0005,39.99,False
u_00384,0.0005,19.99,False
u_00342,0.0005,9.99,False
u_00430,0.0005,9.99,False
u_00241,0.0005,9.99,False
u_00321,0.0005,9.99,False
u_00501,0.0005,39.99,False
u_00654,0.0005,9.99,False
u_00198,0.0004,9.99,False
u_00256,0.0004,19.99,False
u_00660,0.0004,9.99,False
u_00757,0.0004,39.99,False
u_00782,0.0004,9.99,False
u_00009,0.0004,9.99,False
u_00123,0.0004,19.99,False
u_00749,0.0004,39.99,False
u_00066,0.0004,9.99,False
u_00781,0.0004,9.99,False
u_00525,0.0004,19.99,False
u_00328,0.0004,9.99,False
u_00680,0.0004,9.99,False
u_00224,0.0004,9.99,False
u_00099,0.0004,9.99,False
u_00604,0.0004,9.99,False
u_00534,0.0004,19.99,False
u_00012,0.0004,19.99,False
u_00004,0.0004,19.99,False
u_00728,0.0004,19.99,False
u_00746,0.0003,39.99,False
u_00537,0.0003,9.99,False
u_00427,0.0003,39.99,False
u_00046,0.0003,19.99,False
u_00179,0.0003,9.99,False
u_00700,0.0003,9.99,False
u_00353,0.0003,9.99,False
u_00007,0.0003,9.99,False
u_00008,0.0003,9.99,False
u_00266,0.0003,19.99,False
u_00146,0.0003,19.99,False
u_00230,0.0003,19.99,False
u_00658,0.0003,9.99,False
u_00271,0.0003,9.99,False
u_00405,0.0003,39.99,False
u_00669,0.0003,19.99,False
u_00217,0.0003,19.99,False
u_00017,0.0003,9.99,False
u_00291,0.0003,19.99,False
u_00539,0.0003,19.99,False
u_00526,0.0003,19.99,False
u_00689,0.0003,39.99,False
u_00690,0.0003,9.99,False
u_00021,0.0002,9.99,False
u_00578,0.0002,9.99,False
u_00766,0.0002,9.99,False
u_00576,0.0002,9.99,False
u_00369,0.0002,19.99,False
u_00382,0.0002,19.99,False
u_00195,0.0002,19.99,False
u_00385,0.0002,39.99,False
u_00565,0.0002,9.99,False
u_00436,0.0002,9.99,False
u_00613,0.0002,19.99,False
u_00277,0.0002,19.99,False
u_00693,0.0002,9.99,False
u_00235,0.0002,9.99,False
u_00622,0.0002,19.99,False
u_00631,0.0002,9.99,False
u_00253,0.0002,9.99,False
u_00257,0.0002,39.99,False
u_00494,0.0002,9.99,False
u_00484,0.0002,9.99,False
u_00483,0.0002,9.99,False
u_00177,0.0002,9.99,False
u_00278,0.0002,39.99,False
u_00474,0.0002,9.99,False
u_00691,0.0002,9.99,False
u_00461,0.0002,9.99,False
u_00190,0.0002,9.99,False
u_00075,0.0002,19.99,False
u_00593,0.0001,9.99,False
u_00519,0.0001,39.99,False
u_00139,0.0001,9.99,False
u_00140,0.0001,9.99,False
u_00144,0.0001,9.99,False
u_00265,0.0001,19.99,False
u_00644,0.0001,19.99,False
u_00083,0.0001,9.99,False
u_00213,0.0001,9.99,False
u_00307,0.0001,9.99,False
u_00072,0.0001,19.99,False
u_00205,0.0001,39.99,False
u_00630,0.0001,19.99,False
u_00627,0.0001,9.99,False
u_00240,0.0001,19.99,False
u_00067,0.0001,9.99,False
u_00423,0.0001,9.99,False
u_00439,0.0001,19.99,False
u_00225,0.0001,9.99,False
u_00683,0.0001,19.99,False
u_00668,0.0001,9.99,False
u_00355,0.0001,9.99,False
u_00614,0.0001,9.99,False
u_00422,0.0001,9.99,False
u_00318,0.0001,9.99,False
u_00122,0.0001,9.99,False
u_00417,0.0001,9.99,False
u_00294,0.0001,19.99,False
u_00356,0.0001,19.99,False
u_00031,0.0001,9.99,False
u_00219,0.0001,9.99,False
u_00127,0.0001,9.99,False
u_00163,0.0,19.99,False
u_00469,0.0,9.99,False
u_00200,0.0,19.99,False
u_00789,0.0,39.99,False
u_00281,0.0,9.99,False
u_00443,0.0,19.99,False
u_00702,0.0,19.99,False
u_00648,0.0,19.99,False
u_00361,0.0,19.99,False
