subscription_id,user_id,plan_name,start_date,end_date,status,monthly_price,auto_renew,billing_cycle,last_payment_date,total_revenue
s_000032,u_00032,Basic,2025-01-29,,active,9.99,True,monthly,2026-06-29,170.93
s_000033,u_00033,Basic,2025-02-21,,active,9.99,True,monthly,2026-06-30,170.77
s_000034,u_00034,Basic,2025-09-10,,active,9.99,False,monthly,2026-06-27,103.95
s_000035,u_00035,Basic,2024-07-27,,active,9.99,True,monthly,2026-06-14,225.49
s_000036,u_00036,Basic,2024-12-22,,active,9.99,False,monthly,2026-06-23,170.61
s_000037,u_00037,Premium,2025-09-21,,active,39.99,True,monthly,2026-06-21,388.68
s_000038,u_00038,Basic,2025-04-25,,active,9.99,True,yearly,2026-06-17,131.43
s_000039,u_00039,Basic,2026-01-16,,active,9.99,True,monthly,2026-06-19,53.15
s_000040,u_00040,Basic,2024-03-31,,active,9.99,True,yearly,2026-06-22,250.05
s_000041,u_00041,Premium,2024-08-18,,active,39.99,False,monthly,2026-06-22,947.57
s_000042,u_00042,Pro,2025-08-20,2026-05-19,cancelled,19.99,True,monthly,2026-05-15,163.26
s_000043,u_00043,Premium,2024-10-20,,active,39.99,True,monthly,2026-06-26,810.09
s_000044,u_00044,Basic,2024-10-22,2026-06-17,cancelled,9.99,True,yearly,2026-06-17,193.49
s_000045,u_00045,Basic,2024-11-30,,active,9.99,True,monthly,2026-06-16,193.73
s_000046,u_00046,Pro,2025-12-08,,active,19.99,True,monthly,2026-06-22,132.02
s_000047,u_00047,Basic,2024-05-02,,active,9.99,True,monthly,2026-06-28,272.96
s_000048,u_00048,Pro,2024-03-08,,active,19.99,True,monthly,2026-07-04,572.13
s_000049,u_00049,Premium,2024-02-20,2026-06-09,cancelled,39.99,True,monthly,2026-06-09,1080.36
s_000050,u_00050,Basic,2024-02-18,,active,9.99,False,monthly,2026-06-23,275.98
s_000051,u_00051,Premium,2024-03-17,,active,39.99,True,yearly,2026-07-02,1146.15
s_000052,u_00052,Pro,2024-08-18,,active,19.99,False,monthly,2026-06-14,463.98
s_000053,u_00053,Basic,2026-01-04,,active,9.99,False,monthly,2026-07-02,58.49
s_000054,u_00054,Basic,2025-03-31,,active,9.99,True,monthly,2026-06-16,146.34
s_000055,u_00055,Basic,2025-09-29,,active,9.99,True,yearly,2026-06-22,84.46
s_000056,u_00056,Pro,2025-10-25,,active,19.99,False,yearly,2026-07-05,154.4
s_000057,u_00057,Basic,2024-06-07,,active,9.99,True,monthly,2026-06-18,229.52
s_000058,u_00058,Basic,2024-07-07,,active,9.99,True,yearly,2026-06-15,219.37
s_000059,u_00059,Pro,2025-02-17,2026-04-21,cancelled,19.99,True,monthly,2026-03-28,263.21
s_000060,u_00060,Basic,2024-08-22,,active,9.99,True,yearly,2026-06-17,233.94
s_000061,u_00061,Basic,2025-12-25,,active,9.99,True,yearly,2026-06-18,65.54
s_000062,u_00062,Pro,2025-10-27,,active,19.99,False,monthly,2026-06-28,172.42
s_000063,u_00063,Basic,2024-05-13,,active,9.99,True,monthly,2026-07-04,259.39
s_000064,u_00064,Basic,2025-04-15,2026-05-10,cancelled,9.99,False,monthly,2026-04-20,129.04
s_000065,u_00065,Basic,2025-02-02,,active,9.99,True,monthly,2026-06-22,158.76
s_000066,u_00066,Basic,2025-04-08,,active,9.99,True,monthly,2026-06-20,151.91
s_000067,u_00067,Basic,2025-10-31,,active,9.99,True,monthly,2026-06-17,77.79
s_000068,u_00068,Pro,2024-06-09,,active,19.99,True,monthly,2026-06-28,493.26
s_000069,u_00069,Premium,2024-08-15,,active,39.99,True,yearly,2026-07-06,959.51
s_000070,u_00070,Basic,2024-10-10,,active,9.99,True,monthly,2026-06-14,217.58
s_000071,u_00071,Premium,2025-06-25,,active,39.99,True,monthly,2026-06-21,468.62
s_000072,u_00072,Pro,2024-11-06,,active,19.99,True,monthly,2026-06-22,408.71
s_000073,u_00073,Pro,2024-03-07,2026-05-23,cancelled,19.99,True,monthly,2026-05-02,492.35
s_000074,u_00074,Pro,2024-10-31,,active,19.99,True,monthly,2026-06-17,369.25
s_000075,u_00075,Pro,2025-03-10,,active,19.99,True,monthly,2026-06-20,291.02
s_000076,u_00076,Pro,2025-09-02,,active,19.99,True,monthly,2026-06-17,189.33
s_000077,u_00077,Basic,2025-02-23,,active,9.99,True,monthly,2026-06-29,166.54
s_000078,u_00078,Basic,2025-06-22,2026-06-05,cancelled,9.99,True,monthly,2026-05-12,110.61
s_000079,u_00079,Basic,2024-12-13,,active,9.99,True,monthly,2026-07-01,171.28
s_000080,u_00080,Basic,2025-12-29,2026-05-23,cancelled,9.99,True,monthly,2026-05-06,50.61
s_000081,u_00081,Pro,2025-11-09,,active,19.99,True,monthly,2026-06-24,156.07
s_000082,u_00082,Basic,2024-07-21,,active,9.99,True,monthly,2026-06-12,228.35
s_000083,u_00083,Basic,2025-06-19,,active,9.99,True,monthly,2026-06-26,124.39
s_000084,u_00084,Basic,2025-04-26,,active,9.99,True,monthly,2026-07-01,141.99
s_000085,u_00085,Basic,2025-02-06,,active,9.99,False,monthly,2026-07-03,166.44
s_000086,u_00086,Pro,2025-04-29,,active,19.99,False,yearly,2026-06-15,286.2
s_000087,u_00087,Pro,2024-08-17,,active,19.99,True,monthly,2026-06-19,473.49
s_000088,u_00088,Basic,2025-09-22,,active,9.99,True,monthly,2026-06-22,90.34
s_000089,u_00089,Basic,2024-08-20,,active,9.99,True,monthly,2026-06-26,221.96
s_000090,u_00090,Basic,2025-10-28,2026-05-08,cancelled,9.99,False,monthly,2026-04-15,57.58
s_000091,u_00091,Basic,2025-06-16,,active,9.99,True,monthly,2026-06-19,131.92
s_000092,u_00092,Pro,2024-12-20,,active,19.99,True,monthly,2026-06-12,354.84
s_000093,u_00093,Pro,2024-05-09,,active,19.99,True,yearly,2026-06-16,493.93
s_000094,u_00094,Basic,2025-10-18,2026-06-10,cancelled,9.99,True,monthly,2026-05-28,82.14
s_000095,u_00095,Basic,2024-12-20,,active,9.99,True,monthly,2026-06-30,185.17
s_000096,u_00096,Premium,2026-02-22,,active,39.99,True,monthly,2026-06-20,164.06
s_000097,u_00097,Pro,2026-02-19,,active,19.99,True,monthly,2026-06-19,85.79
s_000098,u_00098,Basic,2024-08-05,,active,9.99,True,monthly,2026-06-23,222.14
s_000099,u_00099,Basic,2024-09-05,,active,9.99,False,monthly,2026-07-06,233.45
s_000100,u_00100,Basic,2025-06-14,,active,9.99,False,yearly,2026-06-12,124.31
s_000101,u_00101,Premium,2024-11-26,,active,39.99,True,monthly,2026-06-16,731.23
s_000102,u_00102,Basic,2025-06-09,,active,9.99,True,monthly,2026-06-28,128.64
s_000103,u_00103,Basic,2025-09-14,,active,9.99,True,monthly,2026-06-24,94.38
s_000104,u_00104,Premium,2025-04-27,,active,39.99,False,monthly,2026-07-03,526.65
s_000105,u_00105,Pro,2025-08-12,,active,19.99,False,yearly,2026-06-13,224.93
s_000106,u_00106,Basic,2024-07-04,2026-04-22,cancelled,9.99,True,monthly,2026-04-13,197.42
s_000107,u_00107,Basic,2025-05-24,2026-05-10,cancelled,9.99,False,monthly,2026-05-04,120.95
s_000108,u_00108,Basic,2025-08-06,,active,9.99,True,monthly,2026-06-21,113.31
s_000109,u_00109,Pro,2025-01-31,,active,19.99,True,yearly,2026-06-12,316.39
s_000110,u_00110,Basic,2024-08-03,2026-06-17,cancelled,9.99,True,monthly,2026-06-04,229.38
s_000111,u_00111,Premium,2025-09-13,,active,39.99,True,monthly,2026-07-03,400.74
s_000112,u_00112,Premium,2024-03-21,,active,39.99,True,yearly,2026-06-15,1104.95
s_000113,u_00113,Basic,2025-04-11,,active,9.99,True,monthly,2026-06-30,148.18
s_000114,u_00114,Pro,2024-10-27,,active,19.99,False,monthly,2026-06-14,373.08
s_000115,u_00115,Basic,2024-03-03,,active,9.99,True,monthly,2026-06-27,258.78
s_000116,u_00116,Basic,2025-04-23,2026-05-18,cancelled,9.99,False,monthly,2026-05-08,131.05
s_000117,u_00117,Pro,2025-11-02,,active,19.99,False,monthly,2026-06-25,150.12
s_000118,u_00118,Basic,2024-08-20,,active,9.99,True,yearly,2026-07-02,213.57
s_000119,u_00119,Basic,2026-01-20,,active,9.99,False,monthly,2026-06-23,54.21
s_000120,u_00120,Basic,2025-04-02,,active,9.99,True,monthly,2026-06-26,141.63
s_000121,u_00121,Basic,2024-02-08,,active,9.99,True,yearly,2026-06-15,298.12
s_000122,u_00122,Basic,2025-05-26,,active,9.99,True,monthly,2026-06-25,138.05
s_000123,u_00123,Pro,2024-10-13,,active,19.99,True,yearly,2026-06-12,431.52
s_000124,u_00124,Pro,2025-02-24,,active,19.99,False,monthly,2026-06-29,300.51
s_000125,u_00125,Pro,2025-10-21,,active,19.99,True,yearly,2026-06-28,165.76
s_000126,u_00126,Pro,2025-08-04,,active,19.99,True,monthly,2026-07-06,229.94
s_000127,u_00127,Basic,2025-02-24,,active,9.99,True,monthly,2026-06-18,157.97
s_000128,u_00128,Pro,2026-01-20,,active,19.99,True,monthly,2026-07-05,111.76
s_000129,u_00129,Basic,2025-05-19,,active,9.99,False,monthly,2026-06-29,135.93
s_000130,u_00130,Basic,2025-05-19,,active,9.99,True,yearly,2026-06-14,130.94
s_000131,u_00131,Premium,2024-06-16,,active,39.99,False,monthly,2026-06-21,941.23
s_000132,u_00132,Basic,2026-01-16,,active,9.99,True,monthly,2026-06-23,56.82
s_000133,u_00133,Basic,2024-06-06,,active,9.99,False,monthly,2026-06-16,232.84
s_000134,u_00134,Basic,2025-05-21,,active,9.99,True,monthly,2026-06-17,140.83
s_000135,u_00135,Basic,2024-11-13,,active,9.99,True,monthly,2026-06-14,197.1
s_000136,u_00136,Basic,2025-01-24,,active,9.99,True,monthly,2026-06-20,161.18
s_000137,u_00137,Basic,2025-08-15,,active,9.99,True,monthly,2026-06-25,108.82
s_000138,u_00138,Premium,2024-03-27,,active,39.99,False,yearly,2026-07-03,1068.58
s_000139,u_00139,Basic,2025-10-18,,active,9.99,True,monthly,2026-06-27,80.88
s_000140,u_00140,Basic,2025-12-16,,active,9.99,True,monthly,2026-06-19,70.24
s_000141,u_00141,Basic,2024-08-20,2026-04-24,cancelled,9.99,False,monthly,2026-04-08,205.42
s_000142,u_00142,Pro,2024-12-08,2026-04-14,cancelled,19.99,True,monthly,2026-04-13,324.21
s_000143,u_00143,Basic,2024-04-27,,active,9.99,True,monthly,2026-06-27,273.68
s_000144,u_00144,Basic,2025-04-05,,active,9.99,False,monthly,2026-07-01,149.38
s_000145,u_00145,Basic,2025-12-10,,active,9.99,True,monthly,2026-06-15,66.92
s_000146,u_00146,Pro,2025-11-25,,active,19.99,False,monthly,2026-06-27,137.96
s_000147,u_00147,Pro,2025-04-29,,active,19.99,True,monthly,2026-06-26,266.31
s_000148,u_00148,Pro,2025-09-24,,active,19.99,False,monthly,2026-06-26,183.22
s_000149,u_00149,Pro,2024-04-07,,active,19.99,True,monthly,2026-06-29,529.13
s_000150,u_00150,Basic,2026-01-19,,active,9.99,True,monthly,2026-06-14,56.5
s_000151,u_00151,Basic,2024-05-04,,active,9.99,True,monthly,2026-06-18,255.17
s_000152,u_00152,Basic,2025-10-21,,active,9.99,False,monthly,2026-07-03,84.97
s_000153,u_00153,Basic,2026-01-18,,active,9.99,True,monthly,2026-07-01,57.68
s_000154,u_00154,Basic,2025-08-31,,active,9.99,False,monthly,2026-07-04,107.94
s_000155,u_00155,Basic,2025-12-26,,active,9.99,True,monthly,2026-06-30,60.64
s_000156,u_00156,Basic,2025-05-28,,active,9.99,True,monthly,2026-06-20,139.28
s_000157,u_00157,Pro,2025-07-31,2026-06-25,cancelled,19.99,False,yearly,2026-06-13,223.81
s_000158,u_00158,Basic,2025-02-11,,active,9.99,True,monthly,2026-07-04,154.58
s_000159,u_00159,Pro,2025-02-12,,active,19.99,True,monthly,2026-07-05,322.25
s_000160,u_00160,Pro,2025-11-24,,active,19.99,False,monthly,2026-06-26,139.24
s_000161,u_00161,Basic,2025-12-28,,active,9.99,True,monthly,2026-06-30,63.25
s_000162,u_00162,Basic,2025-12-09,,active,9.99,True,monthly,2026-06-22,68.43
s_000163,u_00163,Pro,2025-11-04,,active,19.99,True,yearly,2026-07-04,158.4
s_000164,u_00164,Pro,2026-02-10,,active,19.99,True,monthly,2026-07-01,98.7
s_000165,u_00165,Basic,2025-08-11,2026-05-22,cancelled,9.99,True,monthly,2026-05-15,89.84
s_000166,u_00166,Basic,2025-01-19,,active,9.99,True,monthly,2026-06-27,169.93
s_000167,u_00167,Pro,2025-08-17,,active,19.99,True,monthly,2026-07-01,221.65
s_000168,u_00168,Pro,2025-07-20,,active,19.99,True,monthly,2026-07-05,244.6
s_000169,u_00169,Basic,2025-04-02,,active,9.99,True,monthly,2026-06-28,155.7
s_000170,u_00170,Basic,2025-01-19,,active,9.99,True,monthly,2026-06-28,165.52
s_000171,u_00171,Premium,2025-07-15,,active,39.99,True,yearly,2026-06-14,435.11
s_000172,u_00172,Basic,2025-10-14,,active,9.99,True,monthly,2026-06-14,82.19
s_000173,u_00173,Premium,2025-05-21,,active,39.99,True,yearly,2026-06-26,527.82
s_000174,u_00174,Basic,2025-11-15,2026-04-27,cancelled,9.99,False,monthly,2026-04-17,50.78
s_000175,u_00175,Basic,2025-03-08,,active,9.99,True,monthly,2026-06-21,167.18
s_000176,u_00176,Basic,2024-03-20,,active,9.99,True,monthly,2026-06-27,279.22
s_000177,u_00177,Basic,2025-05-20,,active,9.99,True,monthly,2026-06-18,132.05
s_000178,u_00178,Premium,2026-01-15,,active,39.99,True,yearly,2026-06-12,215.77
s_000179,u_00179,Basic,2024-09-15,,active,9.99,False,monthly,2026-06-26,210.03
s_000180,u_00180,Premium,2025-12-28,,active,39.99,False,yearly,2026-07-04,246.03
s_000181,u_00181,Basic,2025-11-13,,active,9.99,False,monthly,2026-07-03,78.81
s_000182,u_00182,Premium,2025-12-28,,active,39.99,True,monthly,2026-06-15,231.34
s_000183,u_00183,Premium,2024-05-05,,active,39.99,True,monthly,2026-06-26,1084.58
s_000184,u_00184,Pro,2024-02-20,,active,19.99,True,monthly,2026-06-28,530.99
s_000185,u_00185,Basic,2025-01-12,,active,9.99,True,yearly,2026-06-21,168.92
s_000186,u_00186,Pro,2024-11-24,,active,19.99,True,yearly,2026-06-13,411.72
s_000187,u_00187,Basic,2024-11-07,,active,9.99,True,monthly,2026-06-26,187.38
s_000188,u_00188,Premium,2024-12-15,,active,39.99,True,monthly,2026-06-29,692.92
s_000189,u_00189,Basic,2025-01-22,,active,9.99,False,monthly,2026-06-15,175.74
s_000190,u_00190,Basic,2024-01-30,,active,9.99,True,monthly,2026-07-04,283.57
s_000191,u_00191,Basic,2024-09-07,,active,9.99,True,monthly,2026-06-15,202.96
s_000192,u_00192,Pro,2026-01-27,,active,19.99,False,monthly,2026-06-23,96.01
s_000193,u_00193,Premium,2025-06-13,,active,39.99,False,monthly,2026-07-06,471.63
s_000194,u_00194,Basic,2024-02-23,,active,9.99,True,yearly,2026-07-01,281.5
s_000195,u_00195,Pro,2025-05-29,,active,19.99,True,monthly,2026-06-20,250.98
s_000196,u_00196,Premium,2025-11-03,,active,39.99,True,monthly,2026-06-18,332.02
s_000197,u_00197,Basic,2024-05-05,,active,9.99,True,monthly,2026-07-02,271.29
s_000198,u_00198,Basic,2024-11-27,,active,9.99,True,yearly,2026-06-20,179.86
s_000199,u_00199,Pro,2025-01-23,,active,19.99,True,monthly,2026-06-12,335.06
s_000200,u_00200,Pro,2025-05-20,,active,19.99,True,monthly,2026-06-19,253.11
s_000201,u_00201,Basic,2026-01-05,,active,9.99,True,monthly,2026-06-19,57.15
s_000202,u_00202,Pro,2025-06-16,,active,19.99,True,yearly,2026-07-02,240.09
s_000203,u_00203,Basic,2025-05-03,2026-05-29,cancelled,9.99,False,monthly,2026-05-12,132.55
s_000204,u_00204,Premium,2024-03-15,,active,39.99,True,monthly,2026-07-04,1069.58
s_000205,u_00205,Premium,2025-08-14,,active,39.99,True,monthly,2026-06-29,423.4
s_000206,u_00206,Pro,2025-12-20,,active,19.99,True,monthly,2026-06-14,132.08
s_000207,u_00207,Basic,2025-05-06,,active,9.99,False,monthly,2026-06-12,145.17
s_000208,u_00208,Basic,2024-02-05,,active,9.99,True,monthly,2026-07-02,277.61
s_000209,u_00209,Basic,2025-03-30,,active,9.99,False,monthly,2026-06-18,143.6
s_000210,u_00210,Basic,2025-06-15,,active,9.99,True,monthly,2026-06-24,134.55
s_000211,u_00211,Pro,2024-10-20,2026-05-25,cancelled,19.99,True,monthly,2026-05-13,367.65
s_000212,u_00212,Basic,2024-11-17,,active,9.99,True,monthly,2026-06-15,198.6
s_000213,u_00213,Basic,2025-08-27,,active,9.99,True,monthly,2026-06-25,104.4
s_000214,u_00214,Basic,2024-02-26,2026-05-25,cancelled,9.99,False,monthly,2026-05-09,266.48
s_000215,u_00215,Basic,2024-12-25,,active,9.99,True,monthly,2026-06-23,173.6
s_000216,u_00216,Basic,2026-02-22,,active,9.99,True,monthly,2026-06-15,41.11
s_000217,u_00217,Pro,2025-05-20,,active,19.99,True,monthly,2026-07-01,267.13
s_000218,u_00218,Pro,2024-03-24,,active,19.99,True,monthly,2026-06-13,542.74
s_000219,u_00219,Basic,2025-06-03,,active,9.99,True,yearly,2026-06-20,134.66
s_000220,u_00220,Premium,2025-01-19,,active,39.99,True,monthly,2026-06-12,715.09
s_000221,u_00221,Premium,2024-12-01,,active,39.99,False,monthly,2026-06-27,804.36
s_000222,u_00222,Basic,2024-10-03,,active,9.99,False,monthly,2026-06-25,223.19
s_000223,u_00223,Pro,2024-05-03,,active,19.99,False,monthly,2026-07-05,533.92
s_000224,u_00224,Basic,2025-12-09,,active,9.99,True,monthly,2026-06-13,63.44
s_000225,u_00225,Basic,2025-03-04,,active,9.99,True,monthly,2026-06-16,156.45
s_000226,u_00226,Basic,2025-02-01,,active,9.99,True,yearly,2026-06-29,171.66
s_000227,u_00227,Basic,2025-12-19,,active,9.99,True,monthly,2026-07-05,65.51
s_000228,u_00228,Premium,2024-10-24,2026-06-03,cancelled,39.99,True,monthly,2026-05-18,725.52
s_000229,u_00229,Premium,2026-01-08,,active,39.99,True,monthly,2026-06-23,235.61
s_000230,u_00230,Pro,2025-04-04,,active,19.99,True,monthly,2026-07-03,290.67
s_000231,u_00231,Pro,2025-07-20,,active,19.99,True,yearly,2026-06-14,222.39
s_000232,u_00232,Pro,2025-12-04,,active,19.99,False,monthly,2026-06-26,146.17
s_000233,u_00233,Premium,2024-06-23,2026-06-06,cancelled,39.99,True,monthly,2026-05-16,915.54
s_000234,u_00234,Basic,2025-10-09,,active,9.99,True,monthly,2026-06-23,88.03
s_000235,u_00235,Basic,2025-10-02,,active,9.99,True,monthly,2026-07-04,90.8
s_000236,u_00236,Pro,2024-05-31,,active,19.99,True,monthly,2026-06-14,502.47
s_000237,u_00237,Basic,2024-05-12,,active,9.99,False,monthly,2026-06-20,243.62
s_000238,u_00238,Basic,2025-11-23,,active,9.99,True,yearly,2026-06-14,74.17
s_000239,u_00239,Basic,2025-09-07,,active,9.99,False,monthly,2026-06-21,95.56
s_000240,u_00240,Pro,2024-09-29,,active,19.99,False,monthly,2026-06-14,429.03
s_000241,u_00241,Basic,2024-07-22,,active,9.99,True,monthly,2026-06-15,219.18
s_000242,u_00242,Basic,2024-01-27,,active,9.99,True,yearly,2026-07-01,311.28
s_000243,u_00243,Basic,2025-01-31,2026-04-17,cancelled,9.99,True,monthly,2026-04-13,149.17
s_000244,u_00244,Basic,2026-01-05,2026-06-12,cancelled,9.99,True,monthly,2026-06-06,50.65
s_000245,u_00245,Premium,2024-05-03,,active,39.99,True,monthly,2026-06-25,1000.4
s_000246,u_00246,Basic,2025-12-03,2026-06-11,cancelled,9.99,False,monthly,2026-06-01,60.62
s_000247,u_00247,Pro,2026-01-11,,active,19.99,True,yearly,2026-07-05,118.23
s_000248,u_00248,Pro,2024-10-25,,active,19.99,False,monthly,2026-06-27,411.76
s_000249,u_00249,Basic,2024-12-06,,active,9.99,True,monthly,2026-07-04,193.16
s_000250,u_00250,Pro,2025-11-24,2026-05-06,cancelled,19.99,False,yearly,2026-04-18,112.23
s_000251,u_00251,Pro,2025-12-08,,active,19.99,True,monthly,2026-06-24,135.51
s_000252,u_00252,Pro,2024-12-31,,active,19.99,True,monthly,2026-06-20,367.97
s_000253,u_00253,Basic,2025-09-16,,active,9.99,True,monthly,2026-07-04,94.27
s_000254,u_00254,Basic,2024-10-09,,active,9.99,True,monthly,2026-06-18,210.55
s_000255,u_00255,Premium,2025-05-28,,active,39.99,False,yearly,2026-06-26,523.03
s_000256,u_00256,Pro,2025-01-04,,active,19.99,True,monthly,2026-06-29,371.18
s_000257,u_00257,Premium,2025-03-31,,active,39.99,True,monthly,2026-06-20,554.75
s_000258,u_00258,Premium,2025-07-05,,active,39.99,True,monthly,2026-07-03,454.88
s_000259,u_00259,Basic,2025-07-17,,active,9.99,True,yearly,2026-06-24,111.34
s_000260,u_00260,Pro,2024-09-21,,active,19.99,True,monthly,2026-06-26,453.31
s_000261,u_00261,Basic,2025-03-05,,active,9.99,True,yearly,2026-07-02,158.61
s_000262,u_00262,Pro,2024-12-15,2026-06-26,cancelled,19.99,True,yearly,2026-06-17,354.95
s_000263,u_00263,Basic,2025-01-02,,active,9.99,True,monthly,2026-07-05,175.94
s_000264,u_00264,Basic,2025-10-25,,active,9.99,True,yearly,2026-06-25,81.86
s_000265,u_00265,Pro,2024-04-12,,active,19.99,False,monthly,2026-06-12,559.45
s_000266,u_00266,Pro,2025-01-06,,active,19.99,True,monthly,2026-06-20,379.95
s_000267,u_00267,Pro,2024-09-15,,active,19.99,True,monthly,2026-06-21,450.8
s_000268,u_00268,Basic,2024-05-10,,active,9.99,True,yearly,2026-06-14,268.95
s_000269,u_00269,Basic,2024-04-03,,active,9.99,True,monthly,2026-07-04,255.14
s_000270,u_00270,Premium,2024-10-20,,active,39.99,True,monthly,2026-06-23,782.14
s_000271,u_00271,Basic,2024-07-26,,active,9.99,True,yearly,2026-06-28,233.93
s_000272,u_00272,Basic,2025-03-28,,active,9.99,True,monthly,2026-06-20,154.6
s_000273,u_00273,Pro,2024-08-31,,active,19.99,True,yearly,2026-06-15,417.85
s_000274,u_00274,Basic,2025-07-31,,active,9.99,True,yearly,2026-07-05,114.57
s_000275,u_00275,Pro,2024-09-09,,active,19.99,False,monthly,2026-07-03,412.09
s_000276,u_00276,Basic,2026-01-28,,active,9.99,True,monthly,2026-06-13,49.74
s_000277,u_00277,Pro,2024-03-31,,active,19.99,True,monthly,2026-06-24,521.31
s_000278,u_00278,Premium,2025-10-09,,active,39.99,True,yearly,2026-06-29,369.59
s_000279,u_00279,Premium,2024-11-11,,active,39.99,True,monthly,2026-07-03,810.34
s_000280,u_00280,Pro,2025-11-05,2026-05-03,cancelled,19.99,False,monthly,2026-05-03,116.84
s_000281,u_00281,Basic,2025-12-02,,active,9.99,True,monthly,2026-07-01,73.58
s_000282,u_00282,Pro,2024-02-17,,active,19.99,True,monthly,2026-07-02,592.43
s_000283,u_00283,Pro,2024-06-05,,active,19.99,True,monthly,2026-07-04,486.02
s_000284,u_00284,Pro,2025-10-09,,active,19.99,True,monthly,2026-06-12,183.01
s_000285,u_00285,Pro,2026-01-07,,active,19.99,False,yearly,2026-06-17,111.66
s_000286,u_00286,Pro,2024-06-23,,active,19.99,True,monthly,2026-06-13,482.95
s_000287,u_00287,Pro,2024-01-31,,active,19.99,False,yearly,2026-06-30,542.42
s_000288,u_00288,Pro,2025-12-07,,active,19.99,True,monthly,2026-06-29,135.54
s_000289,u_00289,Basic,2024-10-23,2026-04-27,cancelled,9.99,False,yearly,2026-04-14,179.46
s_000290,u_00290,Basic,2025-09-05,,active,9.99,True,monthly,2026-07-02,92.32
s_000291,u_00291,Pro,2024-08-16,,active,19.99,True,monthly,2026-07-01,445.05
s_000292,u_00292,Basic,2025-05-05,,active,9.99,False,monthly,2026-06-12,141.87
s_000293,u_00293,Premium,2026-01-02,,active,39.99,True,monthly,2026-06-28,244.66
s_000294,u_00294,Pro,2025-07-31,,active,19.99,True,monthly,2026-06-17,205.75
s_000295,u_00295,Basic,2025-01-30,,active,9.99,False,yearly,2026-07-01,158.93
s_000296,u_00296,Pro,2024-07-02,,active,19.99,True,monthly,2026-06-13,465.96
s_000297,u_00297,Pro,2025-12-18,,active,19.99,True,monthly,2026-06-19,136.79
s_000298,u_00298,Pro,2024-03-01,,active,19.99,True,monthly,2026-06-15,588.44
s_000299,u_00299,Basic,2024-11-01,2026-05-18,cancelled,9.99,False,monthly,2026-04-26,177.44
s_000300,u_00300,Premium,2024-04-29,,active,39.99,False,monthly,2026-06-27,1072.07
